date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2024-03-26,33.170833333333334,19.029166666666665,343.6666666666667,16.383333333333333,55.208333333333336,38.916666666666664
2024-03-27,26.6125,15.983333333333334,368.5416666666667,15.950000000000001,49.041666666666664,39.65416666666667
2024-03-28,28.729166666666668,18.087500000000002,355.9583333333333,15.225,49.75,39.2875
2024-03-29,31.979166666666668,19.858333333333334,332.2083333333333,14.383333333333333,48.125,35.833333333333336
2024-03-30,34.895833333333336,21.120833333333334,348.875,14.783333333333333,49.541666666666664,36.5625
2024-03-31,26.59583333333333,15.799999999999999,336.7083333333333,15.229166666666666,49.25,38.30416666666667
2024-04-01,25.395833333333332,15.4,326.5,14.5,50.833333333333336,35.112500000000004
2024-04-02,24.02916666666667,14.737499999999999,273.6666666666667,12.1,38.625,30.2625
2024-04-03,27.179166666666664,16.7625,263.1666666666667,12.479166666666666,33.833333333333336,30.333333333333332
2024-04-04,20.945833333333333,13.1875,261.0416666666667,13.116666666666667,36.708333333333336,32.2875
2024-04-05,23.425,14.666666666666666,293.625,14.533333333333333,56.541666666666664,34.6875
2024-04-06,31.349999999999998,18.745833333333334,338.0833333333333,16.3625,60.75,41.7125
2024-04-07,34.475,20.270833333333332,300.5833333333333,14.3375,47.541666666666664,35.666666666666664
2024-04-08,76.15416666666667,44.86666666666667,427.75,14.904166666666667,92.70833333333333,35.916666666666664
2024-04-09,91.16250000000001,55.775,668.625,23.45,111.16666666666667,64.34166666666667
2024-04-10,91.175,56.550000000000004,775.9583333333334,27.325,84.375,68.43333333333334
2024-04-11,83.47500000000001,52.37916666666666,751.0,28.816666666666666,86.70833333333333,82.70833333333333
2024-04-12,68.22083333333333,44.354166666666664,570.6666666666666,21.091666666666665,95.54166666666667,52.29583333333333
2024-04-13,64.94583333333334,42.4375,667.1666666666666,25.78333333333333,77.5,69.01666666666667
2024-04-14,64.7,41.175000000000004,685.0,28.583333333333332,72.75,76.54583333333333
2024-04-15,48.49583333333334,29.71666666666667,469.9166666666667,19.1875,66.08333333333333,44.479166666666664
2024-04-16,38.02916666666667,24.008333333333336,427.75,16.645833333333332,76.66666666666667,41.44583333333333
2024-04-17,45.479166666666664,28.495833333333334,388.2083333333333,14.008333333333333,72.04166666666667,34.3125
2024-04-18,46.5875,28.587500000000002,370.0833333333333,15.6,63.375,40.50833333333333
2024-04-19,37.670833333333334,22.183333333333334,296.5833333333333,14.15,59.666666666666664,33.84583333333333
2024-04-20,33.016666666666666,18.6375,264.4166666666667,11.820833333333333,65.45833333333333,28.541666666666668
2024-04-21,39.391666666666666,22.7,336.5,17.025000000000002,67.04166666666667,44.88333333333333
2024-04-22,42.541666666666664,24.541666666666668,339.9583333333333,17.141666666666666,70.08333333333333,44.15833333333333
2024-04-23,72.16250000000001,44.69583333333333,617.5833333333334,28.099999999999998,85.29166666666667,81.00833333333334
2024-04-24,35.295833333333334,19.216666666666665,392.6666666666667,18.95,53.625,50.47083333333333
2024-04-25,32.108333333333334,17.570833333333333,401.625,20.425,36.583333333333336,56.229166666666664
2024-04-26,32.65416666666667,18.466666666666665,297.9583333333333,15.487499999999999,44.375,40.5
2024-04-27,43.9,25.191666666666666,337.25,17.2,46.083333333333336,44.775
2024-04-28,41.050000000000004,24.433333333333334,338.6666666666667,16.575,44.25,44.46666666666667
