pm2_5, pm10 , carbon_monoxide, nitrogen_dioxide, sulphur_dioxide, ozone, ammonia, datetime
 27.0,  41.9,           695.0,             25.4,           115.1,  25.0,        , 2022-08-04 05:00:00
 32.2,  49.4,           734.0,             26.7,           120.7,  23.0,        , 2022-08-04 06:00:00
 29.7,  45.4,           787.0,             28.6,           128.4,  21.0,        , 2022-08-04 07:00:00
 26.8,  41.2,           805.0,             30.4,           131.4,  20.0,        , 2022-08-04 08:00:00
 24.9,  38.6,           734.0,             30.1,           122.1,  22.0,        , 2022-08-04 09:00:00
 23.6,  37.0,           618.0,             29.2,           106.7,  26.0,        , 2022-08-04 10:00:00
 23.7,  37.4,           483.0,             27.7,            86.9,  32.0,        , 2022-08-04 11:00:00
 24.5,  38.6,           428.0,             26.5,            76.0,  37.0,        , 2022-08-04 12:00:00
 23.2,  36.9,           391.0,             25.0,            66.2,  42.0,        , 2022-08-04 13:00:00
 21.1,  33.9,           359.0,             23.8,            54.7,  45.0,        , 2022-08-04 14:00:00
 18.2,  29.7,           333.0,             23.6,            46.0,  41.0,        , 2022-08-04 15:00:00
 15.3,  25.2,           314.0,             24.0,            37.9,  33.0,        , 2022-08-04 16:00:00
 22.1,  36.1,           476.0,             38.8,            52.2,  36.0,        , 2022-08-04 17:00:00
 20.8,  33.8,           517.0,             40.0,            53.1,  35.0,        , 2022-08-04 18:00:00
 20.7,  33.4,           577.0,             41.9,            54.5,  33.0,        , 2022-08-04 19:00:00
 22.1,  35.4,           677.0,             43.5,            55.5,  31.0,        , 2022-08-04 20:00:00
 24.6,  38.9,           796.0,             43.1,            56.0,  30.0,        , 2022-08-04 21:00:00
 28.1,  43.7,           937.0,             42.0,            56.2,  29.0,        , 2022-08-04 22:00:00
 30.9,  46.9,          1014.0,             40.2,            53.3,  27.0,        , 2022-08-04 23:00:00
 30.4,  45.6,           895.0,             39.0,            46.2,  25.0,        , 2022-08-05 00:00:00
 21.5,  32.8,           681.0,             37.8,            36.5,  24.0,        , 2022-08-05 01:00:00
 19.6,  29.6,           456.0,             35.8,            26.5,  22.0,        , 2022-08-05 02:00:00
 19.3,  28.8,           411.0,             33.8,            24.0,  22.0,        , 2022-08-05 03:00:00
 20.8,  30.6,           420.0,             31.4,            24.1,  23.0,        , 2022-08-05 04:00:00
 57.5,  84.5,          1523.0,             34.5,            89.2,  23.0,        , 2022-08-05 05:00:00
 54.8,  80.3,          1402.0,             39.2,            94.4,  20.0,        , 2022-08-05 06:00:00
 44.6,  65.9,          1229.0,             45.8,           102.1,  17.0,        , 2022-08-05 07:00:00
 35.9,  54.1,          1033.0,             52.7,           113.7,  14.0,        , 2022-08-05 08:00:00
 32.9,  49.9,           963.0,             54.7,           125.6,  15.0,        , 2022-08-05 09:00:00
 32.9,  49.9,           927.0,             55.2,           139.1,  18.0,        , 2022-08-05 10:00:00
 33.8,  51.1,           868.0,             54.4,           147.1,  23.0,        , 2022-08-05 11:00:00
 32.5,  49.1,           785.0,             52.8,           138.4,  26.0,        , 2022-08-05 12:00:00
 30.9,  46.7,           689.0,             50.2,           121.6,  30.0,        , 2022-08-05 13:00:00
 27.5,  41.7,           590.0,             46.6,           100.3,  34.0,        , 2022-08-05 14:00:00
 24.0,  36.9,           550.0,             43.8,            89.8,  36.0,        , 2022-08-05 15:00:00
 22.6,  34.9,           530.0,             40.9,            81.1,  38.0,        , 2022-08-05 16:00:00
 29.0,  44.1,           584.0,             51.7,            63.0,  46.0,        , 2022-08-05 17:00:00
 29.2,  44.0,           610.0,             51.5,            54.3,  44.0,        , 2022-08-05 18:00:00
 29.5,  44.1,           645.0,             51.2,            42.2,  41.0,        , 2022-08-05 19:00:00
 27.8,  41.3,           663.0,             50.0,            29.3,  38.0,        , 2022-08-05 20:00:00
 26.5,  39.2,           630.0,             48.3,            26.1,  36.0,        , 2022-08-05 21:00:00
 26.6,  39.2,           573.0,             46.2,            25.9,  35.0,        , 2022-08-05 22:00:00
 25.0,  36.9,           498.0,             42.5,            26.1,  35.0,        , 2022-08-05 23:00:00
 24.5,  36.0,           447.0,             38.5,            25.3,  36.0,        , 2022-08-06 00:00:00
 25.1,  36.6,           396.0,             33.8,            24.5,  38.0,        , 2022-08-06 01:00:00
 24.7,  36.0,           367.0,             29.0,            24.1,  40.0,        , 2022-08-06 02:00:00
 25.0,  36.0,           396.0,             27.6,            24.2,  40.0,        , 2022-08-06 03:00:00
 25.4,  36.6,           454.0,             27.4,            24.8,  38.0,        , 2022-08-06 04:00:00
 32.5,  46.7,           554.0,             28.7,            32.4,  34.0,        , 2022-08-06 05:00:00
 35.9,  51.5,           555.0,             30.4,            38.5,  37.0,        , 2022-08-06 06:00:00
 30.3,  43.5,           556.0,             32.7,            47.0,  40.0,        , 2022-08-06 07:00:00
 26.4,  38.0,           552.0,             35.4,            58.0,  46.0,        , 2022-08-06 08:00:00
 24.5,  35.3,           541.0,             36.5,            65.7,  51.0,        , 2022-08-06 09:00:00
 24.3,  34.9,           526.0,             37.2,            73.1,  58.0,        , 2022-08-06 10:00:00
 24.4,  35.2,           508.0,             37.8,            76.3,  64.0,        , 2022-08-06 11:00:00
 25.6,  37.0,           497.0,             37.5,            69.4,  67.0,        , 2022-08-06 12:00:00
 27.1,  39.3,           488.0,             37.0,            57.3,  68.0,        , 2022-08-06 13:00:00
 27.9,  40.7,           487.0,             37.6,            43.6,  67.0,        , 2022-08-06 14:00:00
 27.4,  39.7,           492.0,             40.6,            39.7,  62.0,        , 2022-08-06 15:00:00
 26.2,  37.8,           503.0,             44.8,            38.2,  55.0,        , 2022-08-06 16:00:00
 26.5,  38.3,           593.0,             43.8,            22.8,  49.0,        , 2022-08-06 17:00:00
 27.0,  38.8,           742.0,             44.0,            25.0,  45.0,        , 2022-08-06 18:00:00
 28.6,  41.0,           953.0,             44.2,            28.1,  39.0,        , 2022-08-06 19:00:00
 30.6,  43.9,          1135.0,             43.9,            30.6,  32.0,        , 2022-08-06 20:00:00
 30.2,  43.3,          1107.0,             42.8,            29.9,  29.0,        , 2022-08-06 21:00:00
 28.1,  40.3,           995.0,             41.1,            27.7,  28.0,        , 2022-08-06 22:00:00
 25.6,  36.7,           830.0,             38.9,            24.7,  26.0,        , 2022-08-06 23:00:00
 24.1,  34.6,           720.0,             37.5,            22.8,  25.0,        , 2022-08-07 00:00:00
 23.1,  33.1,           605.0,             36.2,            21.0,  25.0,        , 2022-08-07 01:00:00
 21.9,  31.4,           495.0,             34.3,            19.6,  25.0,        , 2022-08-07 02:00:00
 20.7,  29.7,           470.0,             32.4,            19.7,  25.0,        , 2022-08-07 03:00:00
 20.2,  28.9,           479.0,             30.2,            20.5,  25.0,        , 2022-08-07 04:00:00
 22.8,  32.6,           557.0,             31.1,            21.4,  22.0,        , 2022-08-07 05:00:00
 26.5,  38.0,           609.0,             31.6,            24.6,  24.0,        , 2022-08-07 06:00:00
 23.9,  34.1,           683.0,             32.3,            29.3,  26.0,        , 2022-08-07 07:00:00
 22.5,  32.1,           743.0,             33.8,            35.7,  29.0,        , 2022-08-07 08:00:00
 22.4,  31.9,           724.0,             35.8,            40.7,  32.0,        , 2022-08-07 09:00:00
 21.4,  30.6,           673.0,             38.2,            45.9,  34.0,        , 2022-08-07 10:00:00
 24.6,  35.4,           606.0,             40.3,            49.8,  38.0,        , 2022-08-07 11:00:00
 25.4,  36.6,           571.0,             40.1,            48.6,  41.0,        , 2022-08-07 12:00:00
 24.3,  34.9,           538.0,             39.0,            45.0,  44.0,        , 2022-08-07 13:00:00
 21.0,  30.2,           509.0,             38.3,            40.3,  47.0,        , 2022-08-07 14:00:00
 18.7,  27.0,           499.0,             39.5,            38.6,  47.0,        , 2022-08-07 15:00:00
 18.0,  26.0,           498.0,             41.6,            37.3,  46.0,        , 2022-08-07 16:00:00
 16.2,  23.3,           530.0,             36.0,            30.1,  28.0,        , 2022-08-07 17:00:00
 18.0,  26.0,           551.0,             35.7,            27.5,  26.0,        , 2022-08-07 18:00:00
 17.1,  24.6,           579.0,             35.2,            23.5,  24.0,        , 2022-08-07 19:00:00
 15.1,  21.8,           590.0,             34.5,            19.5,  21.0,        , 2022-08-07 20:00:00
 13.9,  20.0,           557.0,             34.2,            18.5,  20.0,        , 2022-08-07 21:00:00
 13.5,  19.4,           501.0,             34.0,            18.4,  19.0,        , 2022-08-07 22:00:00
 12.8,  18.5,           426.0,             32.7,            18.3,  19.0,        , 2022-08-07 23:00:00
 12.1,  17.5,           378.0,             30.2,            17.8,  21.0,        , 2022-08-08 00:00:00
 11.4,  16.3,           330.0,             26.9,            17.1,  23.0,        , 2022-08-08 01:00:00
 11.6,  16.8,           280.0,             22.8,            16.4,  26.0,        , 2022-08-08 02:00:00
 10.9,  15.8,           252.0,             20.3,            15.6,  28.0,        , 2022-08-08 03:00:00
 10.1,  14.7,           233.0,             18.1,            14.9,  30.0,        , 2022-08-08 04:00:00
  8.7,  12.7,           235.0,             17.4,            13.8,  33.0,        , 2022-08-08 05:00:00
  9.3,  13.5,           281.0,             20.0,            15.1,  29.0,        , 2022-08-08 06:00:00
  9.1,  13.2,           346.0,             23.5,            16.8,  24.0,        , 2022-08-08 07:00:00
  9.2,  13.3,           402.0,             27.0,            18.4,  19.0,        , 2022-08-08 08:00:00
  9.5,  13.8,           390.0,             27.0,            18.2,  19.0,        , 2022-08-08 09:00:00
 11.0,  16.2,           352.0,             25.9,            17.5,  21.0,        , 2022-08-08 10:00:00
 12.3,  18.0,           310.0,             24.7,            16.8,  24.0,        , 2022-08-08 11:00:00
 13.6,  19.8,           305.0,             24.9,            17.2,  25.0,        , 2022-08-08 12:00:00
 14.3,  20.8,           310.0,             25.5,            18.1,  26.0,        , 2022-08-08 13:00:00
 13.9,  20.1,           323.0,             27.0,            18.9,  27.0,        , 2022-08-08 14:00:00
 13.2,  19.2,           339.0,             28.9,            18.8,  26.0,        , 2022-08-08 15:00:00
 13.0,  18.9,           360.0,             31.3,            18.4,  25.0,        , 2022-08-08 16:00:00
 13.6,  19.7,           384.0,             33.0,            18.0,  24.0,        , 2022-08-08 17:00:00
 13.0,  18.7,           378.0,             33.5,            17.8,  23.0,        , 2022-08-08 18:00:00
 12.8,  18.6,           370.0,             34.2,            17.5,  22.0,        , 2022-08-08 19:00:00
 12.1,  17.6,           350.0,             34.0,            17.0,  22.0,        , 2022-08-08 20:00:00
 11.2,  16.3,           323.0,             32.5,            16.6,  23.0,        , 2022-08-08 21:00:00
 10.3,  15.0,           289.0,             30.2,            16.2,  24.0,        , 2022-08-08 22:00:00
  9.6,  14.1,           248.0,             26.3,            15.8,  26.0,        , 2022-08-08 23:00:00
  8.9,  13.0,           225.0,             22.1,            15.7,  30.0,        , 2022-08-09 00:00:00
  8.5,  12.5,           206.0,             17.1,            15.7,  34.0,        , 2022-08-09 01:00:00
  8.3,  12.2,           189.0,             12.6,            15.6,  38.0,        , 2022-08-09 02:00:00
  8.5,  12.5,           182.0,             12.0,            15.4,  37.0,        , 2022-08-09 03:00:00
  7.9,  11.6,           181.0,             13.1,            15.2,  34.0,        , 2022-08-09 04:00:00
  7.5,  11.0,           189.0,             14.4,            12.6,  31.0,        , 2022-08-09 05:00:00
  7.7,  11.3,           228.0,             17.3,            13.2,  28.0,        , 2022-08-09 06:00:00
  8.0,  11.7,           284.0,             21.5,            14.3,  23.0,        , 2022-08-09 07:00:00
  7.9,  11.7,           333.0,             25.1,            15.6,  19.0,        , 2022-08-09 08:00:00
  8.3,  12.2,           327.0,             24.4,            16.1,  20.0,        , 2022-08-09 09:00:00
  9.1,  13.3,           299.0,             21.9,            16.6,  24.0,        , 2022-08-09 10:00:00
 10.4,  15.1,           266.0,             19.6,            17.2,  30.0,        , 2022-08-09 11:00:00
 13.0,  18.9,           255.0,             20.0,            17.8,  37.0,        , 2022-08-09 12:00:00
 14.1,  20.4,           247.0,             21.2,            18.5,  46.0,        , 2022-08-09 13:00:00
 14.3,  20.6,           248.0,             24.0,            18.9,  54.0,        , 2022-08-09 14:00:00
 13.4,  19.3,           263.0,             27.4,            18.6,  52.0,        , 2022-08-09 15:00:00
 13.0,  18.9,           286.0,             31.6,            18.0,  47.0,        , 2022-08-09 16:00:00
 10.9,  15.8,           316.0,             33.5,            16.1,  33.0,        , 2022-08-09 17:00:00
 11.1,  16.1,           317.0,             33.8,            16.1,  32.0,        , 2022-08-09 18:00:00
 11.4,  16.6,           319.0,             34.3,            16.0,  31.0,        , 2022-08-09 19:00:00
 11.6,  16.9,           310.0,             33.5,            15.9,  31.0,        , 2022-08-09 20:00:00
 11.9,  17.3,           288.0,             31.0,            15.7,  33.0,        , 2022-08-09 21:00:00
 12.1,  17.8,           256.0,             27.5,            15.5,  36.0,        , 2022-08-09 22:00:00
 11.6,  17.0,           219.0,             22.4,            15.1,  40.0,        , 2022-08-09 23:00:00
 10.9,  16.1,           199.0,             18.2,            14.5,  43.0,        , 2022-08-10 00:00:00
 10.4,  15.5,           184.0,             13.8,            13.9,  46.0,        , 2022-08-10 01:00:00
 10.3,  15.4,           171.0,              9.9,            13.4,  47.0,        , 2022-08-10 02:00:00
 10.3,  15.4,           167.0,              9.6,            13.6,  45.0,        , 2022-08-10 03:00:00
 10.2,  15.4,           168.0,             10.9,            14.1,  41.0,        , 2022-08-10 04:00:00
  9.7,  14.7,           186.0,             13.2,            16.1,  37.0,        , 2022-08-10 05:00:00
 10.2,  15.5,           232.0,             15.7,            17.5,  33.0,        , 2022-08-10 06:00:00
 10.6,  16.1,           296.0,             19.2,            19.4,  27.0,        , 2022-08-10 07:00:00
 11.2,  17.0,           346.0,             21.9,            21.0,  24.0,        , 2022-08-10 08:00:00
 11.5,  17.5,           323.0,             20.2,            20.5,  30.0,        , 2022-08-10 09:00:00
 12.3,  18.7,           269.0,             16.8,            19.4,  40.0,        , 2022-08-10 10:00:00
 13.0,  19.6,           210.0,             13.6,            17.8,  52.0,        , 2022-08-10 11:00:00
 13.3,  19.8,           196.0,             13.4,            16.9,  58.0,        , 2022-08-10 12:00:00
 13.6,  20.4,           193.0,             14.4,            16.0,  62.0,        , 2022-08-10 13:00:00
 15.0,  22.5,           205.0,             17.8,            15.4,  63.0,        , 2022-08-10 14:00:00
 15.4,  23.2,           229.0,             22.8,            15.6,  58.0,        , 2022-08-10 15:00:00
 14.6,  22.3,           264.0,             29.4,            16.2,  48.0,        , 2022-08-10 16:00:00
 14.5,  21.8,           335.0,             37.3,            18.9,  37.0,        , 2022-08-10 17:00:00
 14.1,  21.3,           339.0,             37.3,            19.0,  37.0,        , 2022-08-10 18:00:00
 14.3,  22.1,           345.0,             37.3,            19.1,  37.0,        , 2022-08-10 19:00:00
 15.0,  23.6,           342.0,             36.6,            19.4,  38.0,        , 2022-08-10 20:00:00
 16.1,  25.6,           327.0,             35.5,            19.9,  40.0,        , 2022-08-10 21:00:00
 17.3,  27.8,           303.0,             34.0,            20.4,  43.0,        , 2022-08-10 22:00:00
 16.2,  26.0,           270.0,             30.2,            20.6,  48.0,        , 2022-08-10 23:00:00
 15.9,  25.4,           243.0,             24.6,            19.8,  55.0,        , 2022-08-11 00:00:00
 16.7,  27.0,           214.0,             17.5,            18.5,  63.0,        , 2022-08-11 01:00:00
 16.9,  27.3,           187.0,             10.9,            17.4,  69.0,        , 2022-08-11 02:00:00
 15.3,  24.3,           181.0,             10.5,            17.5,  65.0,        , 2022-08-11 03:00:00
 14.2,  22.1,           185.0,             12.6,            18.1,  57.0,        , 2022-08-11 04:00:00
 15.4,  25.1,           194.0,             13.2,            17.6,  58.0,        , 2022-08-11 05:00:00
 14.7,  23.6,           226.0,             15.9,            19.0,  49.0,        , 2022-08-11 06:00:00
 13.9,  21.8,           270.0,             19.6,            20.9,  37.0,        , 2022-08-11 07:00:00
 12.8,  19.7,           305.0,             22.4,            22.5,  29.0,        , 2022-08-11 08:00:00
 12.9,  20.0,           289.0,             20.5,            21.9,  36.0,        , 2022-08-11 09:00:00
 14.4,  22.6,           251.0,             16.8,            20.5,  49.0,        , 2022-08-11 10:00:00
 16.5,  26.0,           210.0,             13.0,            18.8,  64.0,        , 2022-08-11 11:00:00
 18.0,  28.3,           197.0,             12.4,            18.0,  70.0,        , 2022-08-11 12:00:00
 18.0,  28.7,           193.0,             12.8,            17.5,  74.0,        , 2022-08-11 13:00:00
 18.0,  28.8,           213.0,             16.0,            17.4,  74.0,        , 2022-08-11 14:00:00
 17.8,  28.4,           265.0,             22.0,            18.3,  67.0,        , 2022-08-11 15:00:00
 18.9,  29.8,           338.0,             30.0,            19.8,  56.0,        , 2022-08-11 16:00:00
 20.1,  31.9,           411.0,             38.3,            20.8,  46.0,        , 2022-08-11 17:00:00
 21.2,  33.6,           448.0,             40.0,            21.2,  42.0,        , 2022-08-11 18:00:00
 21.4,  33.9,           500.0,             42.3,            21.8,  37.0,        , 2022-08-11 19:00:00
 20.7,  32.9,           531.0,             44.0,            22.2,  32.0,        , 2022-08-11 20:00:00
 19.8,  32.1,           495.0,             43.5,            22.2,  31.0,        , 2022-08-11 21:00:00
 19.0,  31.1,           427.0,             42.0,            22.0,  31.0,        , 2022-08-11 22:00:00
 18.8,  31.1,           341.0,             37.8,            21.4,  34.0,        , 2022-08-11 23:00:00
 18.9,  31.5,           293.0,             31.3,            20.0,  41.0,        , 2022-08-12 00:00:00
 18.5,  31.3,           250.0,             23.0,            18.4,  50.0,        , 2022-08-12 01:00:00
 17.7,  29.7,           213.0,             15.1,            17.2,  58.0,        , 2022-08-12 02:00:00
 17.1,  28.2,           205.0,             14.5,            18.0,  57.0,        , 2022-08-12 03:00:00
 16.6,  26.8,           211.0,             16.6,            19.6,  51.0,        , 2022-08-12 04:00:00
 20.8,  34.8,           268.0,             21.5,            23.0,  55.0,        , 2022-08-12 05:00:00
 21.8,  35.7,           315.0,             24.3,            24.4,  47.0,        , 2022-08-12 06:00:00
 21.9,  34.9,           381.0,             28.2,            26.4,  35.0,        , 2022-08-12 07:00:00
 19.6,  30.5,           432.0,             31.0,            28.5,  26.0,        , 2022-08-12 08:00:00
 17.5,  26.5,           405.0,             28.6,            29.0,  29.0,        , 2022-08-12 09:00:00
 17.1,  25.3,           345.0,             24.0,            29.1,  37.0,        , 2022-08-12 10:00:00
 18.3,  26.8,           279.0,             19.5,            29.0,  48.0,        , 2022-08-12 11:00:00
 19.7,  28.9,           261.0,             19.1,            29.0,  55.0,        , 2022-08-12 12:00:00
 20.4,  30.0,           256.0,             20.1,            28.9,  61.0,        , 2022-08-12 13:00:00
 21.4,  31.9,           276.0,             23.6,            28.5,  65.0,        , 2022-08-12 14:00:00
 21.2,  32.0,           313.0,             28.8,            28.0,  61.0,        , 2022-08-12 15:00:00
 22.2,  33.9,           369.0,             35.5,            27.1,  54.0,        , 2022-08-12 16:00:00
 27.0,  40.6,           616.0,             40.5,            29.3,  42.0,        , 2022-08-12 17:00:00
 27.3,  40.3,           807.0,             39.6,            31.0,  39.0,        , 2022-08-12 18:00:00
 28.6,  41.7,          1077.0,             38.4,            33.5,  35.0,        , 2022-08-12 19:00:00
 32.2,  46.7,          1344.0,             36.5,            35.5,  30.0,        , 2022-08-12 20:00:00
 34.6,  49.8,          1399.0,             35.0,            35.4,  27.0,        , 2022-08-12 21:00:00
 34.3,  49.5,          1379.0,             33.2,            34.4,  25.0,        , 2022-08-12 22:00:00
 30.9,  44.5,          1251.0,             31.5,            31.7,  22.0,        , 2022-08-12 23:00:00
 25.2,  36.4,          1041.0,             31.5,            27.9,  21.0,        , 2022-08-13 00:00:00
 21.3,  30.9,           754.0,             32.0,            23.0,  21.0,        , 2022-08-13 01:00:00
 19.0,  27.6,           444.0,             32.0,            18.1,  21.0,        , 2022-08-13 02:00:00
 17.7,  25.7,           336.0,             30.4,            17.0,  22.0,        , 2022-08-13 03:00:00
 17.1,  24.8,           289.0,             28.0,            17.1,  24.0,        , 2022-08-13 04:00:00
 16.4,  23.9,           268.0,             24.2,            18.5,  27.0,        , 2022-08-13 05:00:00
 16.6,  24.4,           316.0,             25.2,            20.8,  26.0,        , 2022-08-13 06:00:00
 18.7,  27.5,           383.0,             26.7,            23.9,  24.0,        , 2022-08-13 07:00:00
 17.0,  25.6,           442.0,             28.0,            27.1,  22.0,        , 2022-08-13 08:00:00
 18.3,  27.5,           433.0,             27.9,            27.9,  22.0,        , 2022-08-13 09:00:00
 19.4,  29.2,           398.0,             27.2,            27.9,  23.0,        , 2022-08-13 10:00:00
 19.7,  29.8,           358.0,             26.5,            28.1,  25.0,        , 2022-08-13 11:00:00
 21.3,  32.2,           346.0,             26.5,            29.5,  28.0,        , 2022-08-13 12:00:00
 21.1,  32.6,           341.0,             26.8,            31.1,  31.0,        , 2022-08-13 13:00:00
 21.0,  33.1,           363.0,             27.7,            32.3,  35.0,        , 2022-08-13 14:00:00
 21.0,  32.8,           418.0,             29.3,            31.4,  36.0,        , 2022-08-13 15:00:00
 20.1,  31.8,           496.0,             31.4,            29.5,  36.0,        , 2022-08-13 16:00:00
 18.8,  29.4,           504.0,             30.6,            21.6,  25.0,        , 2022-08-13 17:00:00
 18.0,  28.1,           529.0,             31.8,            21.5,  24.0,        , 2022-08-13 18:00:00
 17.9,  27.4,           565.0,             33.3,            21.2,  23.0,        , 2022-08-13 19:00:00
 17.8,  27.0,           586.0,             34.8,            20.9,  21.0,        , 2022-08-13 20:00:00
 18.5,  27.9,           565.0,             35.5,            20.8,  20.0,        , 2022-08-13 21:00:00
 17.6,  26.3,           524.0,             35.7,            20.7,  20.0,        , 2022-08-13 22:00:00
 16.1,  24.0,           452.0,             33.7,            20.2,  21.0,        , 2022-08-13 23:00:00
 14.7,  21.9,           380.0,             28.6,            19.4,  25.0,        , 2022-08-14 00:00:00
 13.8,  20.7,           295.0,             21.6,            18.2,  31.0,        , 2022-08-14 01:00:00
 13.7,  20.5,           212.0,             14.7,            16.8,  37.0,        , 2022-08-14 02:00:00
 13.8,  20.6,           189.0,             13.4,            16.0,  38.0,        , 2022-08-14 03:00:00
 13.8,  20.7,           189.0,             13.9,            15.4,  37.0,        , 2022-08-14 04:00:00
 15.1,  22.9,           244.0,             19.8,            16.2,  29.0,        , 2022-08-14 05:00:00
 15.1,  22.6,           317.0,             22.2,            17.0,  27.0,        , 2022-08-14 06:00:00
 15.0,  22.2,           420.0,             25.6,            18.1,  24.0,        , 2022-08-14 07:00:00
 15.0,  21.9,           517.0,             29.4,            19.4,  21.0,        , 2022-08-14 08:00:00
 15.3,  22.2,           519.0,             30.6,            19.8,  21.0,        , 2022-08-14 09:00:00
 16.2,  23.6,           487.0,             31.1,            19.9,  22.0,        , 2022-08-14 10:00:00
 17.3,  25.1,           437.0,             30.9,            19.8,  23.0,        , 2022-08-14 11:00:00
 16.9,  24.5,           406.0,             29.5,            19.1,  24.0,        , 2022-08-14 12:00:00
 15.8,  23.0,           372.0,             27.4,            18.3,  25.0,        , 2022-08-14 13:00:00
 14.8,  21.5,           345.0,             25.6,            17.3,  26.0,        , 2022-08-14 14:00:00
 13.7,  20.0,           352.0,             26.0,            17.0,  25.0,        , 2022-08-14 15:00:00
 12.8,  18.7,           373.0,             27.2,            16.8,  22.0,        , 2022-08-14 16:00:00
 12.5,  18.2,           448.0,             28.0,            17.1,  15.0,        , 2022-08-14 17:00:00
 12.4,  18.0,           447.0,             28.5,            16.9,  14.0,        , 2022-08-14 18:00:00
 11.7,  17.2,           446.0,             29.3,            16.5,  14.0,        , 2022-08-14 19:00:00
 11.2,  16.4,           425.0,             29.8,            16.0,  13.0,        , 2022-08-14 20:00:00
 10.7,  15.7,           381.0,             29.4,            15.9,  13.0,        , 2022-08-14 21:00:00
 10.5,  15.3,           322.0,             28.5,            15.9,  14.0,        , 2022-08-14 22:00:00
 10.2,  14.9,           256.0,             26.4,            15.8,  15.0,        , 2022-08-14 23:00:00
 10.3,  15.0,           230.0,             23.2,            15.4,  17.0,        , 2022-08-15 00:00:00
 10.1,  14.8,           214.0,             19.3,            14.9,  21.0,        , 2022-08-15 01:00:00
  9.7,  14.3,           202.0,             15.4,            14.3,  24.0,        , 2022-08-15 02:00:00
  9.4,  13.9,           195.0,             14.4,            14.1,  25.0,        , 2022-08-15 03:00:00
  9.1,  13.6,           193.0,             14.4,            14.1,  25.0,        , 2022-08-15 04:00:00
  9.0,  13.4,           197.0,             14.9,            16.0,  27.0,        , 2022-08-15 05:00:00
  9.6,  14.3,           234.0,             17.0,            17.5,  25.0,        , 2022-08-15 06:00:00
 10.6,  15.9,           287.0,             19.9,            19.6,  23.0,        , 2022-08-15 07:00:00
 11.8,  17.7,           330.0,             22.0,            21.6,  24.0,        , 2022-08-15 08:00:00
 13.0,  19.6,           315.0,             20.5,            21.9,  31.0,        , 2022-08-15 09:00:00
 15.1,  23.0,           278.0,             17.7,            21.4,  43.0,        , 2022-08-15 10:00:00
 16.9,  26.0,           235.0,             14.7,            20.4,  57.0,        , 2022-08-15 11:00:00
 18.5,  28.9,           222.0,             13.6,            19.4,  67.0,        , 2022-08-15 12:00:00
 19.7,  31.4,           217.0,             13.0,            18.2,  77.0,        , 2022-08-15 13:00:00
 20.3,  33.1,           228.0,             15.6,            17.4,  83.0,        , 2022-08-15 14:00:00
 21.4,  35.6,           256.0,             22.5,            18.0,  79.0,        , 2022-08-15 15:00:00
 21.7,  36.6,           297.0,             32.2,            19.2,  69.0,        , 2022-08-15 16:00:00
 24.7,  41.6,           400.0,             44.3,            22.3,  53.0,        , 2022-08-15 17:00:00
 24.4,  41.0,           424.0,             45.3,            22.9,  49.0,        , 2022-08-15 18:00:00
 24.9,  41.1,           458.0,             46.7,            23.8,  44.0,        , 2022-08-15 19:00:00
 23.3,  37.5,           491.0,             47.0,            25.0,  38.0,        , 2022-08-15 20:00:00
 22.7,  35.9,           497.0,             45.1,            26.0,  35.0,        , 2022-08-15 21:00:00
 22.7,  35.2,           493.0,             42.0,            27.0,  32.0,        , 2022-08-15 22:00:00
 22.4,  34.3,           474.0,             37.8,            27.8,  29.0,        , 2022-08-15 23:00:00
 22.1,  33.9,           445.0,             35.3,            27.7,  28.0,        , 2022-08-16 00:00:00
 22.2,  33.9,           406.0,             32.9,            27.2,  28.0,        , 2022-08-16 01:00:00
 22.4,  34.1,           361.0,             30.0,            26.6,  28.0,        , 2022-08-16 02:00:00
 22.0,  33.9,           340.0,             27.9,            26.3,  29.0,        , 2022-08-16 03:00:00
 21.4,  33.6,           325.0,             26.0,            25.9,  31.0,        , 2022-08-16 04:00:00
 21.9,  35.5,           326.0,             24.8,            26.3,  35.0,        , 2022-08-16 05:00:00
 23.1,  37.7,           331.0,             25.2,            27.0,  39.0,        , 2022-08-16 06:00:00
 20.2,  35.2,           338.0,             25.9,            28.0,  45.0,        , 2022-08-16 07:00:00
 21.7,  37.3,           338.0,             25.5,            28.6,  56.0,        , 2022-08-16 08:00:00
 22.1,  37.8,           323.0,             22.9,            28.0,  67.0,        , 2022-08-16 09:00:00
 22.5,  38.3,           300.0,             19.1,            26.8,  80.0,        , 2022-08-16 10:00:00
 23.6,  39.9,           276.0,             15.7,            25.3,  94.0,        , 2022-08-16 11:00:00
 25.7,  43.0,           270.0,             14.9,            24.6, 101.0,        , 2022-08-16 12:00:00
 27.2,  45.5,           269.0,             15.2,            24.1, 106.0,        , 2022-08-16 13:00:00
 28.3,  47.5,           281.0,             19.0,            24.0, 105.0,        , 2022-08-16 14:00:00
 28.8,  49.1,           303.0,             26.1,            24.3,  96.0,        , 2022-08-16 15:00:00
 27.9,  49.0,           335.0,             36.0,            25.0,  82.0,        , 2022-08-16 16:00:00
 26.0,  45.6,           363.0,             45.8,            26.5,  59.0,        , 2022-08-16 17:00:00
 29.5,  50.2,           465.0,             48.3,            27.0,  54.0,        , 2022-08-16 18:00:00
