date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2022-08-04,38.07368421052632,24.18421052631579,614.4736842105264,32.13157894736842,30.94736842105263,77.52105263157895
2022-08-05,45.88333333333333,30.629166666666663,756.4583333333334,45.41666666666666,28.541666666666668,73.60833333333333
2022-08-06,39.29583333333333,27.241666666666664,611.4166666666666,37.13333333333333,45.375,39.62083333333333
2022-08-07,29.195833333333336,20.3375,571.375,35.604166666666664,29.666666666666668,29.85833333333333
2022-08-08,16.691666666666666,11.491666666666667,323.6666666666667,26.879166666666663,24.58333333333333,17.029166666666665
2022-08-09,15.154166666666669,10.391666666666667,259.7083333333333,23.3875,34.166666666666664,16.058333333333334
2022-08-10,19.72083333333333,12.916666666666666,254.125,22.041666666666668,43.083333333333336,17.441666666666666
2022-08-11,27.3125,17.1375,296.4166666666667,24.10833333333333,51.04166666666666,19.79583333333333
2022-08-12,34.65833333333333,22.73333333333333,539.375,27.475,43.75,27.2875
2022-08-13,28.579166666666666,18.98333333333333,464.625,29.8625,24.916666666666668,24.08333333333333
2022-08-14,20.34583333333333,13.833333333333334,365.7916666666667,25.725,23.125,17.441666666666666
2022-08-15,26.40416666666667,16.720833333333335,306.9583333333333,25.77083333333333,41.54166666666666,19.925
2022-08-16,42.5625,25.725,410.1666666666667,32.1875,56.875,26.65416666666667
2022-08-17,45.43333333333334,27.641666666666666,429.5416666666667,37.4625,58.0,26.579166666666666
2022-08-18,65.08333333333333,43.25,972.3333333333334,40.09166666666667,50.91666666666666,47.38333333333333
2022-08-19,42.66666666666666,29.20833333333333,897.7916666666666,34.7,30.416666666666668,41.37083333333333
2022-08-20,25.954166666666666,17.25,399.9583333333333,30.3125,40.208333333333336,22.6375
2022-08-21,27.704166666666666,18.2875,363.375,27.725,48.375,21.6125
2022-08-22,46.50833333333333,30.508333333333336,680.0,32.25833333333333,54.5,36.46666666666667
2022-08-23,63.7,42.5125,1159.75,45.7625,42.5,68.13333333333334
2022-08-24,64.72916666666667,43.675,1094.125,52.4875,35.041666666666664,74.35833333333333
2022-08-25,85.60000000000001,58.54583333333333,1495.9583333333333,57.725,55.0,103.7125
2022-08-26,69.49166666666666,47.46666666666667,1297.0,47.80833333333334,61.41666666666666,69.1875
2022-08-27,66.14999999999999,44.07916666666667,987.4166666666666,45.97916666666666,71.33333333333333,53.85
2022-08-28,51.86666666666667,34.8125,655.2083333333334,50.05,73.75,57.12083333333334
2022-08-29,51.29166666666666,34.125,851.875,40.93333333333333,51.625,69.91250000000001
2022-08-30,30.729166666666668,20.28333333333333,616.8333333333334,25.03333333333333,28.291666666666668,57.69583333333333
2022-08-31,42.54166666666666,29.03333333333333,974.0,23.65416666666667,14.875,75.02499999999999
2022-09-01,30.70833333333333,20.745833333333334,691.875,18.216666666666665,19.33333333333333,50.833333333333336
2022-09-02,34.854166666666664,23.416666666666668,715.0,16.787499999999998,17.291666666666668,55.45416666666667
2022-09-03,30.741666666666664,20.5125,652.7083333333334,21.1375,25.33333333333333,35.09166666666667
2022-09-04,38.15833333333333,25.3125,722.8333333333334,26.5,29.541666666666668,30.09583333333333
2022-09-05,35.78333333333333,22.754166666666663,600.7916666666666,30.5125,43.66666666666666,30.3625
2022-09-06,37.13333333333333,24.375,728.2916666666666,36.92916666666667,50.16666666666666,37.275
2022-09-07,72.8625,50.12083333333334,1595.25,52.11666666666667,27.416666666666668,78.30833333333334
2022-09-08,27.4375,18.40833333333333,685.125,34.291666666666664,20.666666666666668,30.375
2022-09-09,17.4125,11.429166666666667,386.3333333333333,28.475,25.166666666666668,27.67083333333333
2022-09-10,26.48333333333333,18.28333333333333,610.5833333333334,26.229166666666668,21.291666666666668,25.25
2022-09-11,21.15833333333333,13.9625,308.6666666666667,25.0125,43.583333333333336,18.47083333333333
2022-09-12,24.5625,15.225,284.2083333333333,23.77083333333333,48.458333333333336,17.337500000000002
2022-09-13,33.17916666666667,19.525,309.3333333333333,27.09166666666667,61.083333333333336,17.204166666666666
2022-09-14,31.675,18.77083333333333,351.375,30.02916666666667,56.625,21.441666666666663
2022-09-15,36.41666666666666,22.77916666666667,368.5416666666667,31.45,60.66666666666666,24.320833333333336
2022-09-16,34.65833333333333,22.95833333333333,432.0,33.27916666666667,55.375,27.0
2022-09-17,57.425,39.60416666666666,1429.0833333333333,33.13333333333333,47.91666666666666,54.18333333333334
2022-09-18,72.50833333333334,50.32083333333333,2055.375,41.71666666666667,27.541666666666668,68.04166666666667
2022-09-19,45.175,31.52916666666667,962.4166666666666,36.12083333333333,32.166666666666664,36.9
2022-09-20,31.28333333333333,21.745833333333334,653.2916666666666,39.57083333333333,40.333333333333336,25.629166666666663
2022-09-21,42.15416666666667,28.9125,769.0833333333334,36.8875,58.083333333333336,31.454166666666666
2022-09-22,64.46666666666667,43.8875,1078.5,39.02916666666667,50.79166666666666,38.88333333333333
2022-09-23,65.23333333333333,44.73333333333333,1302.2083333333333,54.55416666666667,45.41666666666666,60.895833333333336
2022-09-24,77.28750000000001,53.020833333333336,1414.25,71.7375,40.958333333333336,103.75416666666666
2022-09-25,72.46249999999999,49.1375,1111.625,60.45416666666667,46.75,96.22916666666669
2022-09-26,70.97083333333333,47.8625,1071.875,62.86666666666667,54.875,78.35416666666667
2022-09-27,87.86666666666667,59.10833333333333,1296.625,66.45416666666667,73.79166666666667,124.52916666666664
2022-09-28,70.75416666666666,47.23333333333333,1098.0,63.7,71.25,91.05833333333334
2022-09-29,39.09166666666667,26.8,822.375,54.36666666666667,30.45833333333333,65.175
