DATE,T2M_MAX,WD10M,RH2M,WS10M,PS,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M,CLRSKY_SFC_SW_DWN,CLOUD_AMT,ALLSKY_SFC_LW_DWN,PRECTOTCORR
20100101,27.12,70.4,70.88,3.95,100.99,3.5698,21.76,24.4,4.4114,59.48,9.7769,0.05
20100102,26.91,59.9,65.28,4.79,101.18,4.6404,20.96,23.53,4.7417,33.9,9.1342,0.02
20100103,27.22,58.4,51.85,4.15,101.13,4.8108,18.92,22.71,4.8998,30.45,8.5498,0.0
20100104,25.54,62.9,59.47,2.95,100.94,4.4808,19.43,22.4,4.8192,50.06,8.6016,0.0
20100105,28.08,62.5,59.21,3.77,100.78,4.6644,20.19,23.68,4.7059,18.05,8.8402,0.0
20100106,27.28,61.2,69.18,4.49,100.88,4.2576,20.23,23.4,4.3502,25.53,9.0149,0.0
20100107,26.67,55.3,68.23,5.08,101.01,4.2269,19.7,23.02,4.7273,41.07,9.1992,0.0
20100108,27.4,56.3,68.79,5.75,101.01,3.9449,20.74,23.93,4.7952,58.24,9.8405,0.01
20100109,26.94,64.5,73.71,4.78,100.99,2.5373,22.73,24.55,4.7791,85.55,10.2533,0.18
20100110,28.01,78.3,78.81,4.43,101.0,1.7966,23.12,25.29,4.5756,84.6,10.2667,0.16
20100111,28.2,80.8,79.37,3.73,101.1,3.8642,23.73,25.49,4.139,37.83,9.9533,0.07
20100112,28.0,99.4,80.71,3.28,101.09,3.9254,23.46,25.35,4.2199,41.05,9.905,0.18
20100113,27.82,119.8,77.34,2.88,101.16,3.7762,23.97,25.46,4.0843,36.82,9.8405,2.6
20100114,27.41,108.5,75.64,3.02,101.3,2.9645,24.06,25.31,4.4508,64.92,9.9893,0.77
20100115,26.81,66.3,77.0,5.36,101.44,3.2438,23.24,24.77,4.5247,73.25,10.0106,0.01
20100116,26.87,64.4,73.26,4.59,101.52,3.234,22.85,24.71,4.0099,62.35,9.9113,0.02
20100117,28.0,86.4,73.36,3.48,101.45,3.7428,22.29,24.83,4.177,44.0,9.6192,0.0
20100118,27.14,97.9,70.69,2.78,101.36,3.737,22.94,24.63,4.2794,64.72,9.5995,0.04
20100119,28.47,99.0,65.7,2.44,101.17,4.565,23.1,24.95,4.7743,37.98,9.162,0.0
20100120,27.59,66.0,60.72,3.3,101.28,4.9392,20.8,23.87,4.9987,15.14,8.8838,0.0
20100121,27.15,58.4,62.13,4.28,101.21,5.0602,19.66,23.1,5.1828,18.25,8.6916,0.0
20100122,27.13,59.0,61.68,4.27,101.17,5.2486,19.57,23.13,5.4434,22.52,8.6978,0.0
20100123,27.43,66.8,61.97,4.08,101.18,5.4533,19.47,23.27,5.5303,14.83,8.6676,0.0
20100124,27.14,84.9,62.32,3.43,101.1,5.5061,20.11,23.45,5.5769,17.88,8.6278,0.0
20100125,27.62,89.0,61.93,3.29,101.11,5.3342,20.69,23.95,5.4492,14.16,8.7955,0.0
20100126,27.95,83.2,67.3,3.25,101.18,5.2145,20.95,24.38,5.3388,21.27,9.0946,0.0
20100127,27.86,75.9,65.96,3.58,101.19,5.071,21.14,24.4,5.2692,25.73,9.1306,0.0
20100128,27.63,87.2,64.88,3.62,101.24,4.6092,21.31,24.28,5.0549,61.97,9.5561,0.0
20100129,28.11,92.0,63.53,3.32,101.2,4.7688,21.7,24.61,4.9802,44.97,9.3451,0.0
20100130,28.66,106.0,64.11,2.31,101.15,5.155,21.88,24.72,5.3642,43.17,9.2909,0.0
20100131,27.88,95.8,62.35,2.44,101.18,5.0947,21.29,24.36,5.3599,57.84,9.0602,0.0
20100201,27.54,85.7,66.88,2.97,101.15,5.0287,20.75,23.83,5.4067,48.29,8.9208,0.0
20100202,27.52,92.9,66.54,2.6,101.08,5.3095,20.97,23.82,5.4754,28.9,8.8409,0.0
20100203,28.71,135.9,60.88,1.88,101.03,5.1706,21.47,24.79,5.2757,24.58,8.8774,0.0
20100204,28.6,127.4,59.29,1.68,101.09,4.8518,22.72,25.2,5.0518,30.2,9.0742,0.3
20100205,29.03,102.9,67.91,2.42,101.15,4.5965,21.82,25.11,4.6829,26.6,9.2587,0.08
20100206,28.64,82.8,69.7,2.94,101.2,4.8672,22.1,24.93,5.5102,40.93,9.3302,0.0
20100207,28.72,81.7,61.27,2.81,101.18,5.7019,20.73,24.48,5.7874,16.64,8.7737,0.0
20100208,28.91,164.9,57.74,1.85,100.95,5.6549,21.31,24.65,5.8243,27.9,8.7727,0.0
20100209,28.55,199.6,65.66,2.87,100.87,5.6969,20.75,24.35,5.7506,12.52,8.6765,0.0
20100210,28.31,153.9,66.49,2.13,100.92,5.9489,20.79,24.31,6.0199,17.44,8.693,0.0
20100211,28.23,82.5,67.18,3.0,101.08,5.2529,21.18,24.53,6.0254,57.16,9.0432,0.04
20100212,29.17,86.5,71.01,2.67,101.08,5.3374,21.27,25.06,5.6479,56.41,9.0581,0.02
20100213,29.91,92.5,68.87,3.1,100.92,5.6832,21.77,25.42,5.8363,40.61,8.9354,0.0
20100214,30.46,169.8,63.34,2.31,100.8,5.7674,21.87,25.75,5.8512,21.51,9.0108,0.0
20100215,29.99,138.2,68.49,2.08,100.82,5.3911,22.59,25.86,5.6282,34.37,9.3259,0.0
20100216,30.06,125.6,70.24,2.14,100.93,5.124,22.66,25.98,5.4646,39.47,9.295,0.0
20100217,30.81,208.1,69.61,3.31,100.9,5.6513,22.62,26.45,5.8106,27.41,9.2971,0.0
20100218,32.41,191.9,59.86,2.99,100.88,5.6446,24.42,27.77,5.7238,24.21,9.4726,0.0
20100219,31.24,156.9,62.2,2.37,101.0,5.0518,25.23,27.57,5.3026,54.32,9.7702,0.06
20100220,32.12,175.7,67.66,2.84,100.99,4.7333,23.96,27.32,5.297,71.86,9.8602,0.05
20100221,31.05,167.6,67.61,2.69,101.0,5.0347,25.14,27.31,5.699,84.11,9.8318,0.0
20100222,30.87,150.4,71.02,2.55,100.94,5.2231,24.91,27.01,5.7307,37.6,9.8222,0.0
20100223,31.84,192.3,70.45,3.75,100.73,5.5032,24.18,27.43,5.9078,26.61,9.779,0.05
20100224,31.38,203.0,75.18,4.9,100.55,4.4784,25.05,27.72,5.7792,59.7,10.187,0.15
20100225,32.9,214.9,69.16,4.54,100.63,5.7127,24.47,28.35,5.9971,39.11,9.8623,0.06
20100226,31.87,196.6,67.93,2.99,100.79,4.8005,25.65,28.0,5.8519,66.72,9.9859,0.19
20100227,32.53,171.4,65.86,2.7,100.76,6.0948,24.61,27.9,6.307,18.64,9.6322,0.19
20100228,32.1,188.2,65.32,2.75,100.81,6.3662,24.42,27.57,6.5074,11.57,9.2887,0.0
20100301,31.95,210.4,72.26,3.79,100.89,6.2914,23.3,27.3,6.4176,11.8,9.3353,0.0
20100302,32.89,215.2,65.64,4.62,100.76,6.205,24.17,28.12,6.3439,18.48,9.4258,0.0
20100303,34.33,219.8,60.58,5.62,100.58,6.0854,24.58,28.85,6.2791,23.31,9.4219,0.0
20100304,32.63,216.5,64.07,5.51,100.57,5.8723,24.99,28.45,5.9734,22.51,9.5887,0.0
20100305,33.3,218.2,66.47,5.74,100.56,5.7461,25.08,28.73,6.0082,29.09,9.7308,0.0
20100306,32.97,215.2,67.8,5.31,100.65,6.0283,25.73,28.84,6.1649,21.53,9.7598,0.0
20100307,33.9,208.0,70.96,4.84,100.69,5.8248,25.62,29.02,5.9491,24.78,9.9125,0.0
20100308,32.5,189.8,75.44,3.63,100.74,5.2891,26.06,28.7,5.5896,36.04,10.099,0.04
20100309,32.19,178.2,74.91,2.84,100.91,5.131,25.81,28.27,5.5188,41.34,10.1465,0.07
20100310,31.53,141.6,68.99,2.1,101.04,5.3129,25.52,28.06,5.784,33.72,10.0346,0.0
20100311,32.43,132.4,64.98,2.12,101.13,5.7358,25.65,28.54,5.9806,31.44,9.8273,0.0
20100312,33.09,188.7,67.49,3.06,101.12,5.6825,25.98,29.02,5.8716,32.81,9.7922,0.0
20100313,33.29,205.1,65.48,4.26,100.87,5.2346,26.38,29.45,5.7648,91.46,10.0853,0.01
20100314,34.48,209.0,65.2,4.66,100.62,4.9171,27.1,29.89,5.999,96.48,10.2626,0.0
20100315,34.82,202.2,66.56,4.55,100.57,5.4048,27.12,29.91,6.3857,96.51,10.0846,0.04
20100316,33.26,207.1,71.17,4.37,100.72,5.125,26.43,29.18,5.9726,85.1,9.9569,6.38
20100317,32.96,177.8,66.51,2.68,100.93,5.6599,25.94,28.9,5.855,34.44,9.7226,0.01
20100318,32.72,105.1,63.72,2.4,101.09,5.5716,25.33,28.6,6.1214,79.67,9.5868,0.1
20100319,34.66,211.7,53.57,2.89,100.85,6.2938,25.69,29.35,6.4987,45.83,9.3218,0.08
20100320,34.58,217.4,58.14,3.88,100.65,6.2983,25.72,29.51,6.4286,20.62,9.4445,0.0
20100321,35.25,216.5,57.33,4.08,100.47,6.5201,25.73,29.72,6.643,20.31,9.45,0.0
20100322,35.02,216.6,64.73,5.18,100.24,6.331,25.41,29.59,6.4435,25.07,9.5426,0.0
20100323,34.32,214.8,67.15,6.15,100.16,6.1423,25.55,29.32,6.3005,29.46,9.684,0.0
20100324,33.47,213.3,70.31,5.84,100.32,5.8841,25.75,29.03,6.1946,38.16,9.8688,0.0
20100325,33.86,212.5,71.0,5.77,100.39,5.8747,25.93,29.16,6.2587,36.84,9.8659,0.03
20100326,33.75,211.1,69.6,5.66,100.45,6.0216,26.24,29.27,6.1613,22.09,9.7082,0.03
20100327,32.95,210.8,71.52,5.67,100.56,5.9182,26.52,29.14,6.0552,31.17,9.87,0.07
20100328,33.38,211.2,73.14,5.75,100.57,5.4437,26.59,29.54,5.8752,47.57,10.1366,0.17
20100329,34.22,218.7,70.57,6.29,100.57,5.8447,27.62,30.42,6.4325,72.77,10.363,0.59
20100330,34.45,218.6,71.97,6.39,100.47,5.6146,27.26,30.4,6.408,48.3,10.2677,0.47
20100331,33.34,217.1,75.18,7.23,100.43,5.7684,27.65,30.01,6.276,50.36,10.2869,1.36
20100401,34.12,218.4,76.12,6.07,100.33,6.4903,27.49,30.18,6.6816,41.78,10.1954,0.47
20100402,34.37,212.7,77.19,6.01,100.37,6.7579,27.92,30.25,7.0075,32.06,10.0234,0.06
20100403,35.0,213.1,74.19,5.64,100.45,6.5767,27.35,30.34,6.7704,25.3,10.0464,0.04
20100404,34.95,214.2,70.79,5.86,100.56,6.6029,27.66,30.57,6.7519,27.75,10.1208,0.0
20100405,35.94,216.9,66.8,5.45,100.44,6.6223,27.44,31.13,6.8798,35.06,10.05,0.0
20100406,35.03,212.7,68.34,5.42,100.42,6.6912,28.27,30.73,6.9588,38.17,9.9173,0.0
20100407,33.96,216.8,69.78,4.6,100.61,6.7493,27.42,30.18,7.0092,42.76,9.8141,0.06
20100408,34.51,211.8,69.48,4.33,100.73,6.4836,27.14,30.19,6.727,37.27,9.7704,0.01
20100409,36.62,219.2,62.64,5.51,100.44,6.2609,27.64,31.23,6.6821,41.32,9.8318,0.02
20100410,36.22,220.0,68.53,7.07,100.14,6.7406,27.75,31.04,6.9794,31.93,10.0906,0.1
20100411,35.61,217.4,71.42,6.05,100.16,6.6295,28.09,30.87,6.87,35.39,10.1945,0.03
20100412,34.1,217.5,74.4,6.47,100.21,6.2494,28.03,30.37,6.8059,57.76,10.2338,0.04
20100413,34.76,222.5,73.03,6.4,100.21,6.5892,28.33,30.67,6.887,36.73,10.2442,0.12
20100414,33.35,219.4,76.45,5.84,100.29,6.517,28.4,30.29,6.8815,54.15,10.3958,0.18
20100415,33.88,207.4,75.01,5.13,100.46,6.5688,28.13,30.06,6.8981,69.16,10.3867,0.14
20100416,32.91,212.3,73.95,5.47,100.53,6.4774,27.51,29.74,6.9828,71.88,10.1789,0.02
20100417,34.37,219.5,71.78,6.84,100.51,7.0704,27.39,30.31,7.1618,18.81,10.0032,0.01
20100418,35.18,219.7,72.01,7.16,100.39,6.9564,27.62,30.61,7.2514,23.04,10.0802,0.01
20100419,35.13,219.6,74.06,7.59,100.24,6.9041,27.66,30.78,7.1599,28.65,10.1551,0.05
20100420,34.78,218.3,74.95,6.54,100.08,6.5628,27.91,30.77,7.1326,29.77,10.2494,0.06
20100421,34.49,219.6,75.01,6.68,100.18,6.4594,28.33,30.66,7.1484,50.79,10.302,1.42
20100422,35.56,220.6,70.3,6.02,100.26,5.3832,27.82,31.13,6.8527,77.15,10.5749,0.35
20100423,35.31,213.7,69.94,6.09,100.35,6.6398,28.15,31.19,6.8422,51.02,10.3589,0.62
20100424,35.97,215.1,66.03,5.93,100.35,7.1489,28.31,31.44,7.2545,38.19,10.2379,0.2
20100425,34.17,215.4,71.39,5.85,100.35,7.1261,28.09,30.68,7.3918,29.69,10.1738,1.78
20100426,34.71,208.8,69.53,5.51,100.61,7.2902,27.67,30.69,7.4124,32.52,10.181,1.06
20100427,34.81,210.0,69.79,5.68,100.68,7.1402,27.98,31.06,7.3294,42.74,10.266,0.21
20100428,34.47,211.8,71.56,5.74,100.57,7.0922,28.5,31.0,7.2298,33.72,10.0956,0.27
20100429,33.84,205.2,72.8,5.43,100.51,6.7505,28.4,30.4,7.1446,41.36,10.1278,0.21
20100430,32.65,204.1,73.93,4.14,100.6,7.1405,27.95,29.95,7.3339,27.98,10.0529,0.09
20100501,34.07,210.4,69.53,3.75,100.61,4.1604,27.81,30.32,7.4282,91.58,10.4479,0.4
20100502,33.25,188.4,66.56,3.44,100.45,5.7019,28.12,30.51,7.0985,80.75,10.3327,0.1
20100503,31.89,211.2,72.34,3.03,100.31,6.1039,28.65,30.1,7.057,72.62,10.3207,1.08
20100504,32.39,193.7,72.25,2.92,100.19,6.8246,27.4,29.69,7.1198,52.76,10.1815,1.43
20100505,34.92,200.6,65.14,3.85,100.05,6.4954,27.11,30.84,7.248,45.15,10.2154,1.1
20100506,34.46,195.2,69.94,4.12,100.06,5.9359,27.97,30.92,7.0728,32.0,10.2103,1.32
20100507,35.06,198.4,68.36,4.26,100.07,6.7663,28.18,31.37,6.9526,42.93,10.2564,0.66
20100508,35.59,204.3,68.08,4.87,100.1,6.6048,28.83,31.85,7.0454,41.19,10.3428,0.11
20100509,36.99,213.5,67.52,5.9,99.93,7.0601,29.16,32.31,7.1983,35.06,10.3442,0.05
20100510,37.16,220.0,68.78,6.22,99.9,7.2036,29.3,32.49,7.3092,25.96,10.3778,0.05
20100511,37.23,218.6,68.65,6.92,99.88,6.9679,29.68,32.66,7.0978,23.75,10.3159,0.04
20100512,34.42,214.3,75.05,6.39,100.0,7.0637,29.63,31.62,7.2787,28.19,10.3826,0.03
20100513,35.64,214.1,73.69,6.63,100.01,7.1688,29.51,31.76,7.2504,12.58,10.3092,0.02
20100514,33.39,212.6,76.5,6.66,100.03,7.0721,29.28,30.9,7.2209,19.75,10.261,0.02
20100515,34.02,216.9,74.16,6.16,100.03,6.8899,29.04,31.08,7.0013,24.85,10.2238,0.02
20100516,34.73,207.5,72.36,5.78,100.02,7.159,29.14,31.46,7.2722,35.36,10.2912,1.85
20100517,33.94,203.1,69.45,4.4,100.07,6.4526,29.36,31.39,7.0582,74.76,10.3894,0.56
20100518,33.9,79.0,74.77,4.91,100.03,5.4838,28.8,30.6,7.2151,96.2,10.4633,8.92
20100519,29.06,81.9,88.26,7.02,99.92,2.3582,27.74,28.61,7.4326,97.89,10.5569,48.73
20100520,29.59,123.1,86.69,6.63,99.82,1.3658,28.23,28.9,7.2302,99.93,10.7477,44.51
20100521,29.45,144.4,88.88,6.39,99.85,3.2736,28.31,28.87,7.1143,99.66,10.871,45.91
20100522,29.28,183.4,90.34,8.29,99.73,2.7888,28.46,28.88,7.0776,99.89,10.8038,13.9
20100523,31.29,222.9,87.23,5.6,99.65,0.9161,28.76,29.7,6.834,99.65,10.7443,3.02
20100524,32.89,222.8,83.98,4.3,99.7,5.9544,27.89,30.1,6.9674,95.6,10.5876,0.78
20100525,33.88,219.4,82.13,5.66,99.52,5.3762,28.72,30.76,6.5899,74.31,10.673,0.76
20100526,37.02,239.6,70.49,5.22,99.46,6.9674,29.19,32.33,7.0318,28.08,10.4014,0.36
20100527,37.91,253.9,64.18,5.05,99.49,7.0632,28.72,32.81,7.181,20.47,10.2766,0.01
20100528,33.63,192.7,77.12,3.47,99.76,6.4954,29.01,30.7,6.9514,57.57,10.5931,3.12
20100529,32.41,210.2,82.52,3.56,99.84,6.0463,29.3,30.55,6.7834,62.23,10.6598,3.16
20100530,32.1,213.1,81.11,5.2,99.95,5.1432,29.33,30.38,6.5587,64.43,10.7455,0.96
20100531,33.13,223.7,78.48,5.17,99.94,6.7675,28.99,30.86,6.9773,44.39,10.5168,0.72
20100601,33.81,229.7,74.97,4.86,99.98,6.6931,29.52,31.37,6.8921,34.01,10.4402,0.02
20100602,34.02,221.3,78.38,5.29,100.07,6.6005,29.68,31.27,6.8376,25.4,10.4897,0.03
20100603,33.52,223.8,79.22,4.7,100.1,6.1793,29.8,31.34,6.5861,55.93,10.7299,0.07
20100604,34.19,262.5,73.48,3.31,100.16,3.4747,29.99,31.58,6.7013,87.42,11.1106,2.52
20100605,30.86,250.0,80.9,7.04,100.0,3.9667,28.45,29.77,7.0032,92.23,10.8538,0.61
20100606,30.07,229.8,82.1,6.5,99.88,6.1786,28.07,29.05,6.8441,74.86,10.5965,1.68
20100607,33.13,230.3,77.84,6.08,99.85,6.1442,28.49,30.26,6.6214,78.42,10.6145,2.0
20100608,33.28,232.5,73.15,3.96,99.9,5.7134,27.97,30.29,6.4236,85.68,10.7484,3.28
20100609,32.86,253.1,73.85,2.4,99.87,5.7175,28.97,30.81,6.7183,81.94,10.5972,1.74
20100610,32.28,108.2,74.12,2.17,99.9,6.883,28.77,30.29,7.201,39.43,10.4376,1.99
20100611,31.5,72.4,79.78,4.5,99.78,5.5118,28.06,29.47,7.4018,78.79,10.5466,8.28
20100612,28.77,99.3,89.28,3.43,99.56,2.7778,27.61,28.13,7.4234,97.56,10.6054,21.83
20100613,29.75,197.3,85.44,5.43,99.69,4.3001,28.12,28.88,7.2866,95.64,10.7134,8.27
20100614,31.36,224.1,82.45,7.57,99.89,3.4922,28.73,29.62,7.1033,96.79,10.6838,1.86
20100615,32.3,227.7,78.52,7.32,99.98,3.3619,28.32,29.89,7.1683,98.29,10.6764,2.21
20100616,31.66,230.4,78.98,8.17,100.1,4.0066,27.94,29.53,7.2446,98.05,10.6548,2.18
20100617,31.03,225.6,83.5,7.23,100.06,5.8975,28.11,29.19,7.0997,85.77,10.59,11.37
20100618,30.93,226.2,81.78,7.69,100.07,5.2855,27.64,28.89,7.1705,96.19,10.615,7.24
20100619,28.81,224.1,88.58,6.84,100.09,1.4126,27.64,28.17,6.8616,97.25,10.783,33.36
20100620,29.21,222.8,88.69,5.92,100.16,3.8518,27.53,28.24,7.1328,82.71,10.7364,14.0
20100621,30.26,240.2,87.06,5.9,100.07,3.2208,26.91,28.39,6.6401,81.76,10.7405,4.92
20100622,30.79,242.1,86.5,5.89,99.82,3.9322,27.09,28.61,6.5148,90.17,10.7693,3.16
20100623,31.3,255.7,84.13,4.39,99.7,2.0513,27.31,28.93,6.2374,97.25,10.7542,16.06
20100624,29.29,255.1,88.19,5.93,99.58,1.9646,27.01,27.92,6.4166,99.18,10.6562,4.3
20100625,30.75,232.4,84.67,5.02,99.55,4.356,26.74,28.42,6.5666,96.26,10.6565,1.52
20100626,30.49,221.2,88.18,3.9,99.65,5.7485,27.38,28.71,6.6086,92.31,10.597,4.18
20100627,29.91,216.9,87.98,4.17,99.81,6.4334,27.47,28.74,6.7697,44.82,10.5701,0.42
20100628,30.81,221.8,86.3,5.88,99.83,6.3989,27.84,29.06,6.7126,42.29,10.6541,2.01
20100629,31.08,236.8,86.62,4.53,99.79,6.1488,27.9,29.26,6.6494,63.3,10.7477,8.19
20100630,29.45,230.0,90.56,4.98,99.77,2.9585,27.84,28.52,6.5933,98.99,10.7434,11.99
20100701,28.54,233.0,89.99,4.62,99.68,1.7081,27.13,27.82,6.6706,99.62,10.7158,14.24
20100702,29.99,231.5,85.52,6.89,99.61,1.8041,27.09,28.08,6.607,99.79,10.6243,7.89
20100703,28.93,217.7,85.28,6.95,99.73,4.0397,26.77,27.87,6.8078,86.22,10.5991,5.95
20100704,29.61,209.3,84.44,6.2,99.9,2.935,27.43,28.33,6.8798,99.04,10.7376,10.16
20100705,27.92,221.3,89.5,6.16,100.03,0.6269,25.96,27.12,6.9902,99.35,10.6706,37.85
20100706,28.45,232.1,89.4,6.47,100.01,2.9112,25.87,27.05,6.9187,99.86,10.6426,38.21
20100707,29.01,230.6,87.87,6.44,100.13,3.5551,26.55,27.65,7.0174,80.9,10.5874,12.66
20100708,29.36,223.0,86.09,6.13,100.31,5.5812,26.39,27.79,7.0963,48.16,10.5115,3.49
20100709,30.39,234.5,84.31,6.9,100.24,5.3208,26.74,28.29,7.2485,45.49,10.5502,1.27
20100710,29.85,224.4,87.92,6.81,100.18,5.9599,27.1,28.31,7.0534,52.8,10.6001,2.6
20100711,29.7,226.5,89.27,7.02,100.15,3.5333,27.44,28.41,6.9482,97.04,10.7054,6.86
20100712,27.99,235.2,90.81,6.21,100.1,2.7583,26.98,27.5,7.0183,99.83,10.6824,9.8
20100713,29.44,249.3,87.07,5.52,100.04,5.1331,26.5,27.66,6.9492,97.54,10.5859,1.95
20100714,29.67,255.0,84.84,3.48,99.95,5.8522,26.45,27.96,6.9454,81.74,10.5175,1.76
20100715,30.17,252.5,84.7,2.46,99.75,4.5247,27.13,28.54,6.8268,95.97,10.5662,2.2
20100716,29.05,226.6,88.86,4.15,99.7,3.1351,27.17,28.0,6.961,92.85,10.7042,3.03
20100717,29.06,216.6,89.01,3.71,99.86,4.5358,26.89,27.85,7.0668,84.45,10.6447,1.97
20100718,30.47,229.8,85.14,5.1,99.87,6.7354,26.84,28.35,7.1995,51.11,10.5074,0.44
20100719,29.91,221.0,86.98,4.24,99.79,5.9057,27.21,28.39,7.2086,58.96,10.6039,4.78
20100720,29.36,198.2,88.68,3.6,99.73,5.8498,27.21,28.09,7.2547,68.14,10.6334,4.5
20100721,29.95,219.1,87.85,4.01,99.69,2.8253,26.78,28.03,7.273,94.15,10.7554,10.06
20100722,30.24,230.9,88.16,7.84,99.76,6.3096,27.26,28.52,7.2792,77.87,10.6234,6.36
20100723,29.56,241.0,89.46,7.57,99.74,5.4943,26.55,27.98,7.0872,89.81,10.5922,7.15
20100724,27.69,245.5,89.98,9.37,99.61,1.1794,26.76,27.25,6.8098,98.92,10.5559,25.69
20100725,28.71,246.9,86.76,10.03,99.43,2.359,25.59,27.13,6.9346,99.64,10.5252,23.31
20100726,30.14,235.6,85.89,7.61,99.68,5.7802,26.39,28.09,7.0538,94.64,10.4969,2.37
20100727,29.69,241.7,87.04,5.42,99.93,2.5063,26.62,28.04,7.111,99.58,10.6514,2.86
20100728,30.38,249.4,86.61,4.03,99.73,1.0495,26.9,28.29,7.1858,98.95,10.8492,7.06
20100729,29.28,214.3,89.75,2.19,99.53,4.1599,26.85,27.76,7.1249,98.32,10.7222,8.66
20100730,29.91,224.2,88.72,6.41,99.67,6.191,26.61,28.07,7.1863,81.12,10.4261,3.43
20100731,29.87,225.5,87.81,6.44,99.94,6.2021,26.86,28.12,7.1796,88.56,10.4834,1.92
20100801,29.81,235.3,88.31,5.65,99.99,5.8406,26.97,28.13,6.8213,93.28,10.5139,2.65
20100802,29.64,237.8,88.79,4.5,99.94,2.6222,26.83,27.99,6.8748,99.39,10.4822,5.39
20100803,29.1,236.4,89.72,6.42,99.79,1.7767,26.58,27.41,6.8294,99.73,10.5509,6.92
20100804,28.16,238.8,90.32,6.95,99.7,0.6463,26.27,26.99,6.8045,99.42,10.5509,23.95
20100805,29.69,265.4,83.58,6.15,99.83,2.3784,25.49,27.12,7.0186,99.34,10.5192,14.18
20100806,28.06,250.0,83.37,7.9,99.87,5.1245,25.3,26.25,7.0212,87.13,10.5432,5.56
20100807,29.89,238.1,81.61,5.55,100.03,6.5642,25.57,27.5,7.1695,51.18,10.297,0.56
20100808,30.63,243.8,81.64,4.28,100.0,5.8848,26.21,28.2,7.0762,55.86,10.5662,1.42
20100809,31.15,259.5,82.12,3.11,99.89,5.9302,26.09,28.64,7.0613,64.99,10.6306,2.65
20100810,30.25,258.7,83.6,2.82,99.85,5.9873,26.77,28.66,7.1717,58.32,10.6157,1.41
20100811,29.26,148.4,88.8,1.6,99.79,5.755,27.81,28.53,7.051,66.73,10.5749,1.97
20100812,29.86,87.9,86.55,2.63,99.84,6.1776,27.29,28.47,7.0471,63.0,10.5302,14.3
20100813,29.8,210.7,84.8,4.35,99.98,4.1626,27.56,28.48,7.0762,89.36,10.6783,9.74
20100814,29.48,202.7,86.96,4.94,100.0,4.2768,27.41,28.31,6.9636,85.76,10.4866,2.72
20100815,28.94,190.9,87.56,3.92,100.09,5.8716,27.41,28.08,7.1599,77.37,10.4419,1.62
20100816,29.41,195.9,85.31,3.17,100.17,6.6002,26.91,28.05,7.0678,53.09,10.351,2.02
20100817,30.76,214.4,80.65,3.14,99.97,4.9908,26.52,28.52,7.1448,61.16,10.4772,1.2
20100818,30.14,208.3,85.53,3.72,99.9,5.6014,27.65,28.69,7.0106,68.11,10.5002,6.76
20100819,29.69,169.8,86.8,2.5,100.09,5.6599,27.46,28.45,7.1441,80.26,10.4554,5.62
20100820,28.8,141.8,83.41,1.99,100.36,2.9498,26.65,27.66,7.1414,95.23,10.4918,4.75
20100821,29.45,131.2,84.21,2.18,100.24,6.5549,27.35,28.29,7.3135,41.23,10.3464,3.79
20100822,29.9,70.6,83.71,2.2,100.05,7.0565,27.16,28.41,7.3078,37.35,10.2967,0.88
20100823,30.62,63.4,83.78,2.91,99.92,6.9478,26.92,28.73,7.2502,28.87,10.2581,0.21
20100824,30.38,75.5,83.97,2.89,99.81,6.3946,27.63,28.82,7.1438,37.53,10.3382,11.88
20100825,29.78,60.4,84.98,4.36,99.79,5.2762,27.34,28.36,7.1546,68.87,10.4861,36.88
20100826,29.22,152.5,88.1,4.68,99.79,1.6298,27.42,28.52,7.1446,92.86,10.6145,31.49
20100827,29.39,228.4,87.61,4.18,99.97,1.8055,27.09,27.99,7.1131,95.1,10.5871,12.07
20100828,29.42,228.3,87.17,4.74,100.05,4.0286,27.33,28.3,6.9487,89.9,10.572,1.84
20100829,28.74,229.9,89.7,5.73,99.97,1.0694,26.95,27.69,6.9182,98.71,10.5372,8.96
20100830,27.29,234.4,87.41,9.33,99.78,1.4472,26.3,26.74,6.8654,99.44,10.5833,14.37
20100831,30.31,246.5,81.98,7.92,99.83,5.8085,26.76,28.08,7.0061,78.12,10.4803,2.88
20100901,30.64,254.5,82.95,4.83,99.99,6.1039,26.33,28.22,6.9062,67.02,10.5773,0.64
20100902,29.9,243.3,88.02,3.96,99.94,5.5421,27.05,28.2,6.871,80.73,10.8026,5.4
20100903,29.72,347.2,90.33,4.66,99.65,4.248,27.22,28.21,6.8998,90.16,10.7635,14.52
20100904,28.65,248.2,90.13,7.86,99.65,3.7294,26.8,27.55,7.0397,90.49,10.7321,12.89
20100905,30.01,243.2,86.84,9.14,99.76,4.2221,26.79,28.05,6.864,90.95,10.6116,6.1
20100906,28.39,253.8,89.61,7.19,99.81,3.9194,26.61,27.38,6.5952,97.84,10.8017,3.55
20100907,29.91,250.8,88.0,6.15,99.69,1.8612,26.69,27.92,6.6278,99.61,10.6642,6.65
20100908,29.15,236.4,86.51,6.73,99.87,3.5419,26.41,27.64,6.7301,91.33,10.6056,3.66
20100909,29.44,223.4,87.63,5.36,100.11,4.8348,27.05,28.1,6.533,60.34,10.5758,9.84
20100910,29.47,230.7,86.9,4.2,100.15,4.3807,27.0,28.18,6.6218,77.16,10.5734,11.05
