Target,RMSE,MAE,MAPE,R2,Winter_RMSE,Summer_RMSE
pm10,14.917652826973898,11.840521013109395,0.2898327573235437,0.574058739790741,0.0,0.0
pm2_5,14.089248866895439,10.63553461666866,0.28550196135734257,0.4308456572294799,0.0,0.0
temp_avg,0.1387372384396038,0.0856423438677863,0.0035228830008043263,0.9948323457603462,0.0,0.0
temp_min,0.13827380507341772,0.0847300083490193,0.0037600339638511706,0.9963254419304883,0.0,0.0
temp_max,0.14897306420793488,0.09065066340767017,0.0034486838789266287,0.9926576754368099,0.0,0.0
humidity,0.3189548677339436,0.19263389691666524,0.00240407159184906,0.9963208848251957,0.0,0.0
rainfall,37.841913801860954,25.349259168991047,1.6931295915298614e+16,0.8423152931317618,0.0,0.0
wind_speed,0.18607024687237736,0.09802417053214914,0.025469815102193833,0.9822239514658357,0.0,0.0
