target,rmse,mae,r2
pm10,4.12658145228,3.011633551,0.942899264
pm2_5,3.81378051779,2.758512509,0.917462875
temp_avg,0.0858556088184356,0.0466581812771884,0.9981000042764032
temp_min,0.1227825639180934,0.0699261864748867,0.9971830825227812
temp_max,0.0814102177447917,0.0520294336839155,0.9979219971353016
humidity,0.1198275621860095,0.0674526977539056,0.9994715088735326
rainfall,28.20165540502736,12.349836209760133,0.9104697670023416
wind_speed,0.0459344202610842,0.0273996539730014,0.9989568079602554
